2128,4840,14860,753,-169,-273
2912,4940,15500,1136,-1067,-573
2696,5360,17084,948,-733,-715
3236,5492,17208,446,-377,-807
3424,5476,16992,348,-298,-655
3476,5276,17484,23,-251,-624
3488,5300,16500,-131,277,-364
3312,5364,15896,-294,339,-266
3472,5136,14960,85,-57,-59
3376,5080,15044,670,-81,167
3640,5264,15728,1005,-657,272
2956,5508,16828,760,-72,302
3204,5592,16788,477,99,121
3188,5580,17040,440,-42,149
3184,5620,17744,-112,16,-12
3104,5584,17112,-585,254,305
2496,5304,15860,-692,8,-120
3156,5016,15400,-215,-552,-177
2952,4968,15636,-21,-610,-429
3468,4932,15524,217,-10,-397
3464,5032,15572,574,301,-386
3612,5248,16332,616,315,-160
3256,5588,17236,150,673,227
2572,5808,17648,-694,57,81
3224,5548,16812,-1093,-34,73
2940,5328,16048,-821,-403,15
2860,5204,15972,-636,-403,-206
2920,5156,16432,-800,281,-556
2928,5020,15532,-655,894,-680
3212,4864,14956,46,467,-626
3528,5060,15432,670,-434,-537
3560,5256,16696,767,-729,-249
3548,5472,17332,19,-281,47
3432,5436,16904,-220,106,251
3104,5340,16556,-197,262,271
2876,5192,16252,50,304,54
2872,5232,16384,-139,-42,-234
2884,5332,16324,-689,481,-492
3000,5160,15764,-624,439,-566
3204,4936,15448,-275,246,-587
2932,4940,15620,158,-179,-487
3136,5196,16320,312,-785,-556
3216,5148,16828,143,-313,-389
3108,5088,16108,407,-138,-421
3632,5108,15972,579,-200,-203
3284,5316,16280,422,322,-54
2792,5368,16312,303,392,-256
2612,5452,16832,-356,245,-643
3148,5244,16484,-537,376,-601
3124,5216,15956,-441,312,-609
3060,5008,15860,-244,187,-549
3236,4928,15812,35,-93,-487
3180,5004,16412,160,-208,-396
3812,4948,16128,392,-410,56
3228,5344,17112,-68,-49,174
3504,5256,17052,-683,296,231
3776,5160,16692,-811,1159,438
2984,5284,17028,-873,1751,481
1988,5340,16624,-1143,2283,140
1664,5060,15640,-665,1228,-526
1896,4920,14944,-178,281,-994
2156,4624,14356,435,-655,-1330
2196,4516,14328,1103,-1113,-1702
2780,4748,15256,1651,-1524,-1862
3232,5008,16156,1661,-839,-1770
3488,5148,16280,1319,-517,-1456
3524,5320,16280,1377,-172,-1115
3108,5812,16936,1533,-881,-1052
2968,5872,17900,1030,-581,-983
2996,5776,17428,555,30,-1102
2880,5572,16668,249,151,-1271
2784,5352,16416,283,99,-1454
2984,5384,16672,168,-114,-1612
3172,5408,16988,-189,-321,-1601
3140,6084,18828,-1762,-841,-1494
3176,6120,19660,-3575,-873,-1462
4020,5940,18760,-5068,-828,-1192
4744,5536,17344,-5746,-101,-585
4800,4916,15244,-5911,618,127
4168,4700,14524,-6009,1564,418
3608,4048,14132,-5296,1899,292
3508,3768,14240,-4585,2211,404
2576,4168,15484,-3693,2508,586
1396,4380,16232,-3300,1848,91
1292,4572,16612,-3309,679,-484
2000,4308,16224,-3885,-209,-1009
3308,4224,16816,-4596,-846,-1089
4468,3908,16408,-4703,171,-458
5400,3640,15448,-4955,1358,320
5508,3392,14508,-3849,2387,1423
3984,3344,14832,-2400,3129,2212
2484,3600,15836,-1556,2919,2425
1936,3728,16868,-1149,2887,2147
1088,3800,16908,-959,3054,1704
284,3728,16784,-668,2372,1056
288,3712,16688,-559,1474,-57
1156,3864,17116,-793,1144,-850
2048,3524,16904,-557,1152,-1060
2548,3560,16292,268,1025,-741
2512,3700,16784,1007,403,-271
2164,3952,17448,1088,404,-5
1448,4288,18640,159,539,-105
1568,4548,19184,-756,578,-171
1796,4352,18260,-1378,634,-186
2280,4012,17428,-1351,232,-111
2004,3788,17484,-971,75,107
1772,3920,17248,-713,340,-69
1924,3696,17044,-419,615,-345
1836,3816,17216,-523,959,-647
2000,3692,17152,-753,1167,-706
2080,3772,17476,-1105,677,-665
2048,3756,17464,-1440,184,-596
2240,3624,17520,-1368,-575,-280
2220,3312,16968,-1006,-850,-69
1972,3476,17164,-747,-1290,-88
2404,3440,17544,-1016,-775,-195
2704,3236,16940,-997,223,-113
2296,2944,16796,-995,507,42
1560,3264,17004,-1013,625,-24
1444,3124,16840,-1282,190,-299
1836,2904,16660,-1428,-241,-478
2324,2796,16320,-1131,-487,-427
2728,2796,16252,-824,-416,-257
2720,2896,16724,-658,-49,-139
2592,3060,17144,-551,518,-27
2032,3180,17368,-683,552,-22
1704,3184,17680,-864,21,-64
2068,2964,16924,-1047,-491,-69
2416,2860,16860,-1085,-1037,13
2532,2664,16592,-1034,-871,45
2788,2596,16308,-798,-122,94
2816,2452,16272,-627,615,-45
2484,2496,16344,-273,1319,-74
2308,2516,16268,-50,796,-51
2420,2796,17064,68,-49,147
2064,2972,17688,-283,-420,225
1636,3168,17892,-633,-624,219
2200,2940,17468,-977,-389,29
2084,2712,16940,-1050,226,-46
2280,2528,16544,-1086,611,-203
2452,2424,16316,-777,1084,-127
2184,2572,16284,-456,1579,-314
1992,2672,16728,-14,801,-201
2384,3092,17512,122,51,-158
2344,3296,18800,-255,-99,117
1892,3192,18328,-892,194,66
2128,3040,17488,-871,-169,-71
2188,3072,18084,-994,-513,-248
2164,3340,18780,-1665,-88,-208
2544,3276,18788,-2823,669,-363
2316,2320,16776,-3506,1080,-213
1868,2072,16084,-2868,590,-322
1928,1828,15620,-1863,184,-399
2128,1768,15672,-935,-212,-454
2220,1700,15788,-199,-271,-325
2000,1692,15552,538,-616,-212
3312,2400,19440,-1290,45,85
3464,2012,17436,-1638,367,174
3596,1512,16080,-880,-773,481
3308,1464,16700,-450,-1697,672
3116,1408,16792,-434,-1627,835
2880,1236,15576,54,-1503,717
2564,1432,16684,325,-2337,328
3000,1876,17988,-142,-1761,22
3728,1848,17416,-502,-1164,55
3984,1876,16932,-528,-703,109
4772,2224,17480,-270,639,-61
4524,2364,12456,9500,2,324
3952,3708,15548,11586,-1262,363
2500,5352,22244,10039,-1622,-268
3756,6020,23228,6859,-962,-621
6056,5116,19832,4902,-472,-30
5632,5112,18300,4896,233,1329
3444,5672,19180,4293,32,1235
3672,6308,19400,1632,409,455
5084,5504,18308,-495,760,143
5060,5072,17356,-832,1485,375
4460,4948,17028,-862,2291,236
4112,4980,16980,-998,3499,-184
3812,4596,16328,-833,4221,-587
3508,4276,15856,-191,3170,-634
3540,4464,16640,215,1388,-454
3180,4916,19240,-719,102,-299
3504,5108,20340,-3308,219,-399
4272,4244,17928,-4255,1068,-243
4812,3920,16540,-3873,1817,-107
4040,3928,16808,-3048,2376,-122
3632,4716,20176,-4350,2593,-650
4252,4984,21568,-6263,3786,-551
