A_0,A_1,A_2,G_0,G_1,G_2
1368,6524,14256,606,-563,455
-1424,6712,14848,460,-18,-395
-128,6544,15496,1091,-948,123
-60,7088,15540,807,490,-275
-604,6908,16360,365,-140,8
-732,7272,16736,-31,-193,-132
-216,7092,16680,-264,-217,-8
-620,7128,16440,-729,-93,-119
-1024,7044,16840,-1049,-180,-346
-116,6884,15996,-874,27,-306
116,6408,14744,-688,762,38
-524,6752,15644,-1142,187,-52
112,6648,15472,-923,408,420
-28,6704,16048,-1411,811,606
-188,6528,15124,-1126,1130,927
-1000,6488,14132,-538,932,380
-944,6604,14820,101,-762,40
-396,6948,17628,-692,-1019,28
-1268,6612,16952,-485,542,-190
-1476,6624,15572,-571,-281,-778
316,6492,14364,84,-87,-394
-592,6376,14924,364,24,-650
224,6360,15432,777,-618,36
40,6676,15392,1007,593,79
-440,6664,15708,1048,-87,311
-468,6712,15960,635,-473,409
-476,7000,17068,-109,-937,459
-252,6648,16184,-101,-116,632
-1116,6688,15532,-77,247,-16
-480,6540,15408,7,-49,-266
136,6712,15600,200,723,-398
-204,6676,15732,255,730,-39
-248,6680,15904,267,-123,282
-268,6612,15676,344,45,532
-672,6740,15776,197,-364,576
-964,6848,16668,-449,-478,352
-924,6764,15752,-95,220,49
-1224,7064,15724,-384,-118,-612
-792,6632,15968,-267,-103,-870
376,6888,15432,-27,-80,-603
656,7124,15856,-231,-149,155
-124,6856,16372,-234,6,309
-16,6800,16064,-139,-143,779
-456,6632,15804,-284,454,794
-1196,6504,15228,-38,458,464
-1348,6444,15356,-317,17,-238
-804,6368,15768,-166,-338,-458
-484,6544,15796,-102,-140,-579
-288,6632,15720,-154,-549,-590
1236,6532,15024,326,-252,189
-244,6868,16316,-130,-312,-18
540,6744,16380,-47,88,805
-112,6984,16192,-353,813,585
-488,6832,16124,-342,371,851
-1088,6760,15768,-291,691,365
-1132,6500,15324,-101,361,-19
-1088,6724,15768,-349,-233,-451
-960,6596,15896,-397,108,-770
-848,6448,15784,-251,-424,-929
844,6552,15304,-78,-1180,-335
444,6688,15288,59,-98,188
-604,6716,16700,-286,-727,209
524,6708,16140,-113,486,719
-404,6520,15420,-23,882,508
-732,6472,15164,178,149,560
-784,6432,15472,310,125,125
-828,6460,15672,226,-36,-91
-832,6400,15544,51,31,-434
52,6492,15512,393,-426,-446
-120,6900,16652,-288,-621,-456
992,6800,16464,-171,-148,406
-72,7096,16660,-539,336,364
-348,6988,16740,-831,-207,545
120,6516,15572,-608,780,622
-932,6488,15668,-720,604,148
-404,6212,15564,-381,421,50
-240,6164,14944,57,1037,-27
-856,6256,15140,206,292,-148
-496,6572,15980,67,-592,-83
-204,6784,17588,-722,-894,17
52,6880,17148,-1030,-388,235
652,6552,15312,-940,456,714
-472,6612,16616,-1842,746,171
-392,6448,17648,-2534,1444,347
144,6076,15072,-2159,3141,798
-996,5668,13372,-1335,2449,472
-1276,5632,13220,49,1001,446
-1412,5928,14280,923,-16,-193
-808,6288,16424,833,-1489,-86
-1156,6816,17928,299,-1165,-508
-836,7132,18212,16,-864,-806
-188,7288,18068,-1004,-533,-981
-320,6956,17568,-1670,395,-982
248,6740,16148,-1517,411,-387
444,6376,14784,-1416,1265,233
-1292,6196,15872,-1387,689,6
-644,5860,15832,-919,534,369
-524,6100,15196,-118,619,434
-1200,6304,15408,139,-725,396
-1620,6540,16884,-485,-2075,-18
-648,6632,17844,-1052,-2480,-236
392,6368,17040,-1621,-1099,-223
136,6228,15964,-1833,105,-467
480,5832,14680,-1400,1229,-150
220,5904,14556,-929,1094,-157
-312,5856,15556,-887,391,44
-48,5620,15312,-16,-74,451
-116,5744,15208,383,-537,563
